image,top_3_songs,top_3_scores,bottom_3_songs,bottom_3_scores
792_而且還很有才華.jpg,"['131016.mp3', '127915.mp3', '014693.mp3']","[0.1302, 0.1289, 0.1289]","['049029.mp3', '068600.mp3', '000368.mp3']","[0.0355, 0.0379, 0.038]"
61_我愛慕虛榮啦.jpg,"['113271.mp3', '070426.mp3', '055288.mp3']","[0.17, 0.1681, 0.1606]","['057665.mp3', '059709.mp3', '074374.mp3']","[0.0373, 0.0373, 0.0434]"
1180_是這樣沒錯，但不是這樣.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.1893, 0.188, 0.1687]","['110447.mp3', '122358.mp3', '027804.mp3']","[0.0499, 0.0528, 0.0581]"
326_讓人說不出話來了.jpg,"['084154.mp3', '048015.mp3', '014738.mp3']","[0.2122, 0.2042, 0.2023]","['057665.mp3', '059709.mp3', '076069.mp3']","[0.0553, 0.0553, 0.0636]"
276_大家每天都快樂地相處在一起.jpg,"['084154.mp3', '036388.mp3', '038834.mp3']","[0.1982, 0.1951, 0.1819]","['122358.mp3', '027804.mp3', '110447.mp3']","[0.04, 0.0484, 0.0582]"
735_妳睡著了嗎.jpg,"['149099.mp3', '087324.mp3', '012527.mp3']","[0.1859, 0.1828, 0.1812]","['122358.mp3', '027804.mp3', '043519.mp3']","[0.0544, 0.0662, 0.0687]"
703_但妳剛剛都在做什麼.jpg,"['084154.mp3', '036388.mp3', '149099.mp3']","[0.1646, 0.16, 0.1569]","['068600.mp3', '034257.mp3', '049029.mp3']","[0.0524, 0.0534, 0.0547]"
829_到底是怎麼樣啊.jpg,"['087322.mp3', '013927.mp3', '054236.mp3']","[0.1994, 0.187, 0.1849]","['122358.mp3', '115267.mp3', '096403.mp3']","[0.044, 0.0455, 0.0495]"
1059_請不要拍.jpg,"['087324.mp3', '055288.mp3', '027547.mp3']","[0.1932, 0.1907, 0.1901]","['057665.mp3', '059709.mp3', '034257.mp3']","[0.0516, 0.0516, 0.052]"
297_妳在幹嘛啊.jpg,"['012527.mp3', '055285.mp3', '027547.mp3']","[0.1428, 0.1414, 0.1414]","['122358.mp3', '118505.mp3', '110447.mp3']","[0.0212, 0.03, 0.0305]"
439_歡迎你回來.jpg,"['029750.mp3', '064364.mp3', '050272.mp3']","[0.151, 0.146, 0.1413]","['110447.mp3', '054468.mp3', '059709.mp3']","[0.0213, 0.0374, 0.0449]"
357_我都還沒好好告訴過妳.jpg,"['124874.mp3', '125618.mp3', '140872.mp3']","[0.2396, 0.2325, 0.2279]","['004079.mp3', '060144.mp3', '055832.mp3']","[0.0411, 0.0459, 0.0491]"
294_這問題問得好.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.1592, 0.1538, 0.1418]","['110447.mp3', '054468.mp3', '068600.mp3']","[0.0226, 0.0329, 0.0382]"
1105_我不是都說別這樣了嗎.jpg,"['142579.mp3', '113271.mp3', '087324.mp3']","[0.1935, 0.1904, 0.1884]","['096403.mp3', '057665.mp3', '059709.mp3']","[0.0398, 0.0454, 0.0454]"
332_不是啊.jpg,"['055293.mp3', '142550.mp3', '127915.mp3']","[0.1302, 0.1286, 0.1261]","['110447.mp3', '122358.mp3', '041570.mp3']","[0.035, 0.0357, 0.0364]"
543_因為我_就是元凶.jpg,"['087322.mp3', '055293.mp3', '027552.mp3']","[0.1981, 0.1928, 0.1916]","['107951.mp3', '107952.mp3', '044952.mp3']","[0.0569, 0.057, 0.0585]"
"713_吵死了,你說誰全身都是嘴啊.jpg","['070426.mp3', '032334.mp3', '046928.mp3']","[0.1947, 0.1912, 0.1899]","['096403.mp3', '072072.mp3', '076069.mp3']","[0.024, 0.0246, 0.0259]"
942_妳可以一直留在這裡.jpg,"['087322.mp3', '055293.mp3', '013927.mp3']","[0.2103, 0.206, 0.2033]","['122358.mp3', '110447.mp3', '043519.mp3']","[0.0686, 0.0756, 0.0758]"
350_爽世：太好了.jpg,"['054236.mp3', '055293.mp3', '087322.mp3']","[0.1821, 0.1803, 0.18]","['122358.mp3', '115267.mp3', '027804.mp3']","[0.0505, 0.0625, 0.0661]"
264_妳為什麼要我忘記呢.jpg,"['084154.mp3', '036388.mp3', '038834.mp3']","[0.1848, 0.1839, 0.1643]","['122358.mp3', '027804.mp3', '110447.mp3']","[0.0273, 0.0367, 0.0415]"
1257_過去那段時光已經回不去了.jpg,"['087322.mp3', '013927.mp3', '087324.mp3']","[0.1995, 0.1964, 0.1964]","['122358.mp3', '115267.mp3', '110447.mp3']","[0.0652, 0.0674, 0.0679]"
553_幹嘛.jpg,"['087322.mp3', '087324.mp3', '012527.mp3']","[0.1767, 0.1727, 0.1725]","['122358.mp3', '096403.mp3', '110447.mp3']","[0.029, 0.0327, 0.0442]"
894_為什麼.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.1744, 0.1692, 0.16]","['110447.mp3', '105887.mp3', '122358.mp3']","[0.0363, 0.0426, 0.0449]"
596_那我也來.jpg,"['140872.mp3', '108024.mp3', '043018.mp3']","[0.1867, 0.18, 0.1789]","['057500.mp3', '132138.mp3', '096403.mp3']","[0.0714, 0.0719, 0.0732]"
1030_我們也來拍吧.jpg,"['084154.mp3', '036388.mp3', '007713.mp3']","[0.1813, 0.1704, 0.1689]","['122358.mp3', '110447.mp3', '038827.mp3']","[0.0422, 0.0494, 0.056]"
535_傻瓜!.jpg,"['112199.mp3', '140872.mp3', '020818.mp3']","[0.226, 0.2231, 0.2229]","['080753.mp3', '060864.mp3', '060144.mp3']","[0.0577, 0.0586, 0.0615]"
593_貴安.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.191, 0.1867, 0.1809]","['096403.mp3', '122358.mp3', '056520.mp3']","[0.0446, 0.0525, 0.0538]"
306_一起共同演奏音樂的命運共同體了.jpg,"['142579.mp3', '012527.mp3', '074386.mp3']","[0.1828, 0.1825, 0.1815]","['096403.mp3', '038887.mp3', '096718.mp3']","[0.0207, 0.0397, 0.042]"
470_別說了.jpg,"['014738.mp3', '058221.mp3', '055288.mp3']","[0.1771, 0.176, 0.1731]","['110447.mp3', '122358.mp3', '054468.mp3']","[0.0469, 0.055, 0.058]"
875_我到處和人炫臞喔.jpg,"['039530.mp3', '058221.mp3', '131950.mp3']","[0.2061, 0.2008, 0.1984]","['122358.mp3', '062529.mp3', '060864.mp3']","[0.0606, 0.0721, 0.0723]"
98_我亂說的.jpg,"['084154.mp3', '036388.mp3', '064364.mp3']","[0.1541, 0.1434, 0.1384]","['105887.mp3', '038887.mp3', '110447.mp3']","[0.0387, 0.0422, 0.0431]"
289_妳不記得了嗎.jpg,"['036388.mp3', '084154.mp3', '048015.mp3']","[0.1747, 0.1708, 0.1601]","['110447.mp3', '122358.mp3', '105887.mp3']","[0.0244, 0.0266, 0.0387]"
"529_循此艱途,終達繁星.jpg","['142538.mp3', '060534.mp3', '131933.mp3']","[0.1602, 0.1597, 0.1597]","['057665.mp3', '059709.mp3', '076069.mp3']","[0.0634, 0.0634, 0.0658]"
1099_已經沒關係了啦.jpg,"['084154.mp3', '036388.mp3', '132456.mp3']","[0.193, 0.1809, 0.1761]","['110447.mp3', '096403.mp3', '122358.mp3']","[0.0517, 0.0523, 0.06]"
"722_好棒喔,好棒喔.jpg","['140872.mp3', '058221.mp3', '055288.mp3']","[0.2182, 0.2107, 0.2078]","['110447.mp3', '062531.mp3', '107951.mp3']","[0.0681, 0.0814, 0.0824]"
8_妳不僅表裡不一，又滿口謊言.jpg,"['070426.mp3', '013927.mp3', '087322.mp3']","[0.1821, 0.1801, 0.1777]","['096403.mp3', '096718.mp3', '039900.mp3']","[0.0495, 0.0624, 0.0639]"
716_因為今夜的旋律格外動人.jpg,"['087324.mp3', '055285.mp3', '027547.mp3']","[0.1917, 0.1901, 0.1901]","['122358.mp3', '043519.mp3', '027804.mp3']","[0.0566, 0.0689, 0.0691]"
219_那個誓言呢.jpg,"['087322.mp3', '087324.mp3', '027547.mp3']","[0.1902, 0.1815, 0.1799]","['122358.mp3', '110447.mp3', '074374.mp3']","[0.0407, 0.0491, 0.0526]"
577_抱歉.jpg,"['142551.mp3', '055288.mp3', '054236.mp3']","[0.2309, 0.2258, 0.2224]","['107951.mp3', '044950.mp3', '064593.mp3']","[0.0753, 0.0767, 0.0789]"
1221_妳們果然是要復合啊.jpg,"['087322.mp3', '013927.mp3', '087324.mp3']","[0.2066, 0.2012, 0.1991]","['062529.mp3', '110447.mp3', '107951.mp3']","[0.0632, 0.0662, 0.0687]"
1020_妳覺得幸福是什麼.jpg,"['087322.mp3', '087324.mp3', '064366.mp3']","[0.1857, 0.1727, 0.1713]","['122358.mp3', '110447.mp3', '027804.mp3']","[0.0389, 0.041, 0.0507]"
347_是這樣嗎.jpg,"['055288.mp3', '087324.mp3', '058221.mp3']","[0.2057, 0.1972, 0.1972]","['096403.mp3', '122358.mp3', '034257.mp3']","[0.076, 0.0823, 0.0862]"
93_現在沒時間玩了吧.jpg,"['087324.mp3', '087322.mp3', '012527.mp3']","[0.2024, 0.202, 0.2017]","['096403.mp3', '122358.mp3', '001259.mp3']","[0.0568, 0.0616, 0.0634]"
896_為什麼會變成這樣.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.185, 0.1811, 0.1742]","['110447.mp3', '054468.mp3', '062531.mp3']","[0.0347, 0.0484, 0.0491]"
932_大家早安.jpg,"['120203.mp3', '067334.mp3', '111382.mp3']","[0.1351, 0.1351, 0.1298]","['110447.mp3', '054468.mp3', '133781.mp3']","[0.0318, 0.0364, 0.0383]"
23_這傢伙根本什麼也不懂.jpg,"['058221.mp3', '039530.mp3', '055293.mp3']","[0.1839, 0.1781, 0.175]","['110447.mp3', '060144.mp3', '122358.mp3']","[0.0521, 0.0558, 0.0571]"
375_或許也不是真的不可能吧.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.1826, 0.1777, 0.1714]","['122358.mp3', '027804.mp3', '096403.mp3']","[0.0457, 0.0561, 0.0595]"
1070_我去警告她一下.jpg,"['087322.mp3', '087324.mp3', '027547.mp3']","[0.1692, 0.1636, 0.1636]","['122358.mp3', '110447.mp3', '054468.mp3']","[0.0289, 0.0293, 0.0408]"
582_沒有必要乖乖接受命運的安排.jpg,"['087324.mp3', '013927.mp3', '027547.mp3']","[0.2057, 0.2057, 0.2042]","['096403.mp3', '062529.mp3', '073770.mp3']","[0.0494, 0.067, 0.0687]"
10_也沒有啦.jpg,"['070426.mp3', '121592.mp3', '029738.mp3']","[0.1894, 0.1706, 0.1687]","['096403.mp3', '096718.mp3', '048453.mp3']","[0.0165, 0.0235, 0.0426]"
"943_妳好,我是祐天寺.jpg","['140872.mp3', '108961.mp3', '058212.mp3']","[0.2072, 0.1967, 0.1928]","['098339.mp3', '080755.mp3', '080753.mp3']","[0.0688, 0.0688, 0.0692]"
767_戲已劇終.jpg,"['060874.mp3', '075751.mp3', '142538.mp3']","[0.164, 0.1599, 0.1594]","['013537.mp3', '099395.mp3', '076069.mp3']","[0.0634, 0.0634, 0.0634]"
465_不想吃嗎.jpg,"['110102.mp3', '091623.mp3', '115813.mp3']","[0.1787, 0.1787, 0.1779]","['003778.mp3', '110447.mp3', '062531.mp3']","[0.0405, 0.0417, 0.0484]"
73_她是我朋友.jpg,"['021232.mp3', '055285.mp3', '027547.mp3']","[0.175, 0.175, 0.175]","['096403.mp3', '068600.mp3', '049029.mp3']","[0.0273, 0.0392, 0.0432]"
1227_實在是非常抱歉.jpg,"['084154.mp3', '036388.mp3', '007713.mp3']","[0.1617, 0.1579, 0.1449]","['110447.mp3', '004079.mp3', '018034.mp3']","[0.0257, 0.0324, 0.0328]"
849_妳說呢.jpg,"['087322.mp3', '054236.mp3', '055293.mp3']","[0.1947, 0.1844, 0.1831]","['110447.mp3', '122358.mp3', '107952.mp3']","[0.0477, 0.0526, 0.0637]"
359_那個誓言是騙人的.jpg,"['070426.mp3', '012527.mp3', '129391.mp3']","[0.1571, 0.157, 0.1558]","['049029.mp3', '057665.mp3', '059709.mp3']","[0.047, 0.0497, 0.0497]"
"1192_請給我薑汁汽水,辣一點的.jpg","['087324.mp3', '013927.mp3', '027547.mp3']","[0.2089, 0.2082, 0.208]","['122358.mp3', '073770.mp3', '027455.mp3']","[0.0673, 0.0678, 0.0756]"
684_聽得都快煩死了.jpg,"['087322.mp3', '070426.mp3', '129391.mp3']","[0.1704, 0.1696, 0.1674]","['096403.mp3', '122358.mp3', '041570.mp3']","[0.0227, 0.0327, 0.0427]"
1258_過程如何不重要吧_口nn.jpg,"['087322.mp3', '055288.mp3', '087324.mp3']","[0.1777, 0.1703, 0.1698]","['074374.mp3', '122358.mp3', '034257.mp3']","[0.0439, 0.0461, 0.0476]"
957_我都已經替妳付清了.jpg,"['121739.mp3', '055293.mp3', '122085.mp3']","[0.1864, 0.1495, 0.147]","['122358.mp3', '109446.mp3', '049029.mp3']","[0.0564, 0.0624, 0.0626]"
1021_就是說啊.jpg,"['087322.mp3', '055288.mp3', '054236.mp3']","[0.1794, 0.1714, 0.1709]","['122358.mp3', '027804.mp3', '110447.mp3']","[0.0289, 0.0404, 0.0407]"
273_我們以前感情明明那麼好.jpg,"['084154.mp3', '036388.mp3', '038834.mp3']","[0.1982, 0.1955, 0.1791]","['122358.mp3', '027804.mp3', '110447.mp3']","[0.0391, 0.0474, 0.0541]"
