image,top_3_songs,top_3_scores,bottom_3_songs,bottom_3_scores
所以我都道歉了嘛_0092.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Weezer - Buddy Holly (2024 Remaster).mp3']","[19.7517, 15.2457, 14.3599]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'Spongebob Music - Background Music (HD).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3']","[9.4328, 9.9706, 10.241]"
別說這種莫名其妙的話_0257.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'sans..mp3']","[18.6255, 13.2116, 13.1828]","['🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[9.353, 9.8372, 10.1904]"
是妳先來找我麻煩的吧.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3']","[19.2249, 15.1155, 14.6001]","['Wii Shop Channel Main Theme (HQ).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3']","[10.7109, 10.721, 11.0992]"
天啊，大發現欸.jpg,"['【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3']","[21.3389, 19.9465, 16.8929]","['C418  - Sweden - Minecraft Volume Alpha.mp3', 'Nintendo Wii - Mii Channel Theme.mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3']","[12.0586, 12.2126, 12.6142]"
噓.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[17.6384, 16.8438, 13.9397]","['Nintendo Wii - Mii Channel Theme.mp3', 'Sad Violin - Sound Effect (HD).mp3', 'ILLUMINATI CONFIRMED (The X-Files Theme) - Sound Effect (HD).mp3']","[9.6573, 10.8365, 11.1762]"
那傢伙根本就不打算組新樂團.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[19.1107, 14.456, 13.7475]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'Spongebob Music - Background Music (HD).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3']","[9.8777, 9.8989, 10.2034]"
怎麼說都不聽_0560.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Weezer - Buddy Holly (2024 Remaster).mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[22.6219, 19.7293, 19.583]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Spongebob Music - Background Music (HD).mp3']","[13.6386, 14.7425, 15.1715]"
交通費和住宿費_很多地方都要花錢_0546.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3', 'Kirby dream land theme song.mp3']","[18.9899, 14.6058, 14.238]","['Spongebob Music - Background Music (HD).mp3', 'Wii Shop Channel Main Theme (HQ).mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[10.1431, 10.3895, 10.6367]"
妳好_我是祐天寺_0397.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Weezer - Buddy Holly (2024 Remaster).mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[16.5662, 15.962, 15.6013]","['Wii Shop Channel Main Theme (HQ).mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'Sneaky Adventure - Background Music (HD).mp3']","[10.77, 11.265, 11.7551]"
再怎麼努力也就只有這樣_0298.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[17.0072, 13.2129, 13.1526]","['Sneaky Adventure - Background Music (HD).mp3', 'sans..mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[8.0777, 8.49, 8.6095]"
態度好差喔.jpg,"['【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[18.7476, 18.2771, 15.1458]","['Wii Shop Channel Main Theme (HQ).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[11.2524, 12.1589, 12.5435]"
怎麼這麼問.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Kirby dream land theme song.mp3', '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3']","[16.2205, 12.7392, 12.5632]","['Wii Shop Channel Main Theme (HQ).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3']","[8.2484, 8.9836, 9.6786]"
騙人是什麼意思.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Kirby dream land theme song.mp3']","[18.2879, 15.4336, 14.9957]","['Nintendo Wii - Mii Channel Theme.mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[10.3503, 10.7232, 10.9016]"
我願意一輩子和燈在一起.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[18.6468, 15.2098, 13.1765]","['Nintendo Wii - Mii Channel Theme.mp3', 'Wii Shop Channel Main Theme (HQ).mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3']","[9.5234, 10.0635, 10.2884]"
小睦是個可愛的孩子_0149.jpg,"['【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[12.4334, 11.845, 10.7988]","['Sneaky Adventure - Background Music (HD).mp3', 'sans..mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[4.0698, 5.1625, 6.7789]"
我想想喔_0539.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3', '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3']","[20.4231, 15.8232, 15.5877]","['Spongebob Music - Background Music (HD).mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[10.6603, 11.0064, 11.0523]"
我的意思就是速度太快了_0048.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3', '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3']","[19.046, 13.8413, 13.8198]","['🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3']","[9.402, 10.0579, 10.0999]"
不行.jpg,"['【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[17.5173, 14.5638, 14.3976]","['Sneaky Adventure - Background Music (HD).mp3', 'sans..mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[7.995, 8.9631, 9.9414]"
妳真的不懂嗎_0404.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'sans..mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[19.8833, 14.3774, 14.3532]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Spongebob Music - Background Music (HD).mp3']","[8.7877, 9.0369, 10.0802]"
真的好噁心_0602.jpg,"['Sneaky Adventure - Background Music (HD).mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Scheming Weasel Faster (Kevin Macleod) - Background Music (HD).mp3']","[13.9146, 13.7685, 13.6829]","['Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3', 'Nintendo Wii - Mii Channel Theme.mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3']","[9.0777, 9.4568, 9.7426]"
可以等我十秒嗎_0484.jpg,"['Sneaky Adventure - Background Music (HD).mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", ""It's Going Down Now.mp3""]","[15.7985, 14.7814, 14.7034]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Spongebob Music - Background Music (HD).mp3']","[10.2313, 11.1431, 11.3554]"
那個是指_0313.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[17.9702, 14.6033, 13.4987]","['Wii Shop Channel Main Theme (HQ).mp3', 'Spongebob Music - Background Music (HD).mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[8.8195, 9.3198, 10.4778]"
可是_0639.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3', 'Scheming Weasel Faster (Kevin Macleod) - Background Music (HD).mp3']","[20.8266, 16.5063, 16.3312]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'Spongebob Music - Background Music (HD).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3']","[10.2778, 10.4169, 11.5165]"
不錯吧.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[18.4568, 13.8614, 13.0265]","['Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3', 'Nintendo Wii - Mii Channel Theme.mp3', 'C418  - Sweden - Minecraft Volume Alpha.mp3']","[8.7453, 8.7556, 8.9215]"
歡迎光臨_0205.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Spongebob Music - Background Music (HD).mp3']","[15.9806, 13.3206, 12.6321]","['Sneaky Adventure - Background Music (HD).mp3', 'sans..mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[6.1701, 6.8744, 7.0678]"
我會盡可能不造成妳太多負擔的_0229.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[19.1977, 14.2658, 13.795]","['Wii Shop Channel Main Theme (HQ).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3']","[8.219, 10.433, 10.5705]"
我想去_0143.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[18.3895, 14.1305, 12.8288]","['🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[8.8425, 9.2703, 9.3632]"
中止_0515.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3', 'Kirby dream land theme song.mp3']","[18.6186, 13.4792, 13.3423]","['Wii Shop Channel Main Theme (HQ).mp3', 'Nintendo Wii - Mii Channel Theme.mp3', 'Spongebob Music - Background Music (HD).mp3']","[9.4392, 9.7929, 10.861]"
我也不能再繼續保持沉默了_0569.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3', '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3']","[20.7446, 17.4661, 17.3693]","['Wii Shop Channel Main Theme (HQ).mp3', 'C418  - Sweden - Minecraft Volume Alpha.mp3', 'sans..mp3']","[12.9126, 13.011, 14.0063]"
再來是_000_0337.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[20.1114, 15.876, 14.5987]","['🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'sans..mp3']","[9.668, 10.9608, 11.4441]"
是啊_0095.jpg,"['【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[15.9819, 14.5625, 11.5974]","['Sneaky Adventure - Background Music (HD).mp3', 'sans..mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[6.5305, 7.1853, 7.7361]"
記得要強調是史上最快喔.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'Spongebob Music - Background Music (HD).mp3']","[15.87, 10.8547, 10.8273]","['Nintendo Wii - Mii Channel Theme.mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3', 'ILLUMINATI CONFIRMED (The X-Files Theme) - Sound Effect (HD).mp3']","[7.3948, 7.8243, 7.859]"
為什麼變這樣了_0494.jpg,"['【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Kirby dream land theme song.mp3']","[14.0959, 13.6106, 11.6686]","['Nintendo Wii - Mii Channel Theme.mp3', 'Wii Shop Channel Main Theme (HQ).mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3']","[7.1068, 7.4248, 7.541]"
真是的_0482.jpg,"['【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', ""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[16.2748, 15.1013, 13.8906]","['Sneaky Adventure - Background Music (HD).mp3', 'Wii Shop Channel Main Theme (HQ).mp3', 'ILLUMINATI CONFIRMED (The X-Files Theme) - Sound Effect (HD).mp3']","[9.2806, 9.4035, 9.736]"
這和妳沒有關係_0009.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[20.2178, 15.6672, 14.8714]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[9.6662, 10.5396, 10.7708]"
我懂.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[15.9267, 15.2262, 12.8432]","['Sneaky Adventure - Background Music (HD).mp3', 'sans..mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[7.5709, 8.0461, 8.4233]"
真的嗎太好了.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[18.8065, 16.2853, 15.0969]","['Wii Shop Channel Main Theme (HQ).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'sans..mp3']","[10.8487, 11.0262, 11.223]"
超催淚的_0308.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Amazing Plan - Distressed - Kevin MacLeod.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[19.5883, 16.6756, 16.5485]","['Nintendo Wii - Mii Channel Theme.mp3', 'Sneaky Adventure - Background Music (HD).mp3', 'Spongebob Music - Background Music (HD).mp3']","[11.4559, 11.9131, 12.0846]"
什麼意思.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[16.253, 15.1456, 14.0954]","['Wii Shop Channel Main Theme (HQ).mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3']","[8.7857, 9.4972, 9.5898]"
真是太好了.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[16.2906, 14.9813, 12.3412]","['🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Nintendo Wii - Mii Channel Theme.mp3', 'Wii Shop Channel Main Theme (HQ).mp3']","[8.4774, 8.7492, 9.2211]"
